Name,Phone,Website,BillingStreet,BillingCity,BillingState,BillingPostalCode,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,Account_Status__c,Customer_Type__c,Billing_Type__c,Main_Point_of_Contact__c,Software_EMR_being_used__c,Number_of_Years_in_Business__c,Other_notes__c
Drake Rehab Center,(516) 552-2054,https://www.martinezrehabcenter.com,31281 Lopez Mount,Ashleyview,GA,31803,57269 Shelley Mount,Melaniemouth,CO,39754,Active,ARN Member,Billing company,William Moore,athenahealth,35,"Recently onboarded, still in early implementation phase."
Bowman Therapy Group,(575) 301-4220,https://www.marshallptclinic.com,5607 Hunter Village,Natashafurt,LA,67132,5607 Hunter Village,Natashafurt,LA,67132,Inactive,Consulting,Billing company,Michael Lowery,athenahealth,28,Client focused on improving billing efficiency and reducing denials.
Reyes Therapy Group,(704) 722-6111,https://www.kimphysicaltherapy.com,43497 Jared Creek,Port Williamfurt,MH,29653,3323 John Lake Apt. 681,North Jason,CO,46222,Inactive,Boost,Billing company,Tonya Herrera,Other,11,High volume clinic with steady monthly billing.
Holland Rehabilitation,(260) 606-5484,https://www.turnerrehabilitation.com,76398 Danielle Corners,Kaitlynville,LA,48856,76398 Danielle Corners,Kaitlynville,LA,48856,Active,Boost;Marketing,Billing company,Rhonda Reeves,Other,20,"Recently onboarded, still in early implementation phase."
Garcia Rehab Services,(756) 437-6258,https://www.villarrealphysicaltherapy.com,399 Perez Fort,New Wendy,LA,74371,2446 Newton Circles Suite 728,Scottberg,NM,87574,Active,Boost;ARN Member,in-house billing,Erica Weaver,Other,18,"Recently onboarded, still in early implementation phase."
Figueroa PT Clinic,(560) 786-1052,https://www.jonesrehabilitation.com,982 David Well,West Tracyburgh,ME,36623,982 David Well,West Tracyburgh,ME,36623,Active,Boost,Billing company,Jennifer Aguilar,Other,32,High volume clinic with steady monthly billing.
Williams Rehab Center,(786) 507-4086,https://www.campbellphysicaltherapy.com,664 Cohen Parkway Apt. 201,South Kyle,GU,61600,6447 Luis Points Apt. 885,Tarastad,TX,63259,Active,Boost,in-house billing,Anthony Gonzalez,Raintree,39,Interested in expanding services and improving payer mix.
Diaz PT Clinic,(598) 558-7108,https://www.kramertherapygroup.com,843 Jones Meadow,Lake Vickiside,WV,40405,843 Jones Meadow,Lake Vickiside,WV,40405,Inactive,Billing,Billing company,Jason Rodriguez,Raintree,9,Client focused on improving billing efficiency and reducing denials.
Jones Rehab Services,(249) 735-9154,https://www.wilkersonrehabcenter.com,32635 Lee Meadows,Port Teresa,MH,03598,32635 Lee Meadows,Port Teresa,MH,03598,Active,Marketing,Billing company,Travis Perry,Clinicient,31,High volume clinic with steady monthly billing.
Boyle Rehabilitation,(219) 467-1003,https://www.vasquezptclinic.com,502 Benson Bypass Suite 992,West Ninaside,MT,12439,502 Benson Bypass Suite 992,West Ninaside,MT,12439,Active,ARN Member,Billing company,Rose Moses,Clinicient,39,Client focused on improving billing efficiency and reducing denials.
Johnson Therapy Group,(880) 443-4268,https://www.hughestherapygroup.com,543 Thompson Brook Apt. 710,North Andrea,IA,22283,70904 West Court Suite 194,North Sarahton,WY,56743,Active,Marketing,Billing company,Leslie Farmer,Raintree,7,"Recently onboarded, still in early implementation phase."
Fowler Rehabilitation,(911) 661-4090,https://www.byrdtherapygroup.com,0634 Mark Rest Suite 363,West Morganport,HI,36838,0634 Mark Rest Suite 363,West Morganport,HI,36838,Active,Marketing,Billing company,Angela Garcia,WebPT,38,Client focused on improving billing efficiency and reducing denials.
Copeland Physical Therapy,(857) 794-4850,https://www.lewisptclinic.com,720 Courtney Station,Woodmouth,NV,39186,720 Courtney Station,Woodmouth,NV,39186,Active,Consulting,Billing company,Kenneth Neal,WebPT,11,Client focused on improving billing efficiency and reducing denials.
Hughes PT Clinic,(204) 945-5064,https://www.salazarrehabservices.com,441 Clayton Mount,Lake Lisafurt,WV,79899,1566 Kyle Harbor Suite 667,Millerland,WI,85997,Active,ARN Member;Consulting,Billing company,Christian Rodriguez,Epic,32,"Recently onboarded, still in early implementation phase."
Rodriguez Physical Therapy,(861) 392-9897,https://www.maddenrehabservices.com,25552 Smith Route,Williamsberg,GU,52228,2930 Moore Forge,Brittanyport,AS,32275,Active,Marketing,Billing company,Christina Davis,WebPT,4,Client focused on improving billing efficiency and reducing denials.
Patton Rehab Services,(686) 406-2101,https://www.roserehabilitation.com,34060 Olson Groves Apt. 282,West Catherinefort,VA,21279,57200 Devin Locks,East Ryan,CT,04524,Inactive,Consulting,Billing company,Michael Lang,Other,23,"Recently onboarded, still in early implementation phase."
Hernandez Rehab Center,(203) 509-6423,https://www.hartrehabilitation.com,5606 John Greens Apt. 539,South Joshua,MN,80135,5606 John Greens Apt. 539,South Joshua,MN,80135,Active,Other,Billing company,Shannon Brooks,Epic,5,"Recently onboarded, still in early implementation phase."
Cantu Rehab Services,(523) 721-9823,https://www.halltherapygroup.com,12872 Estrada Cliff Apt. 888,Lake Amber,MI,32028,68422 Ronald Terrace,Port Dawnshire,NH,09371,Active,Billing,Billing company,Stephanie Hull,WebPT,8,Client focused on improving billing efficiency and reducing denials.
Heath Physical Therapy,(463) 622-6819,https://www.hansenrehabcenter.com,79582 Jose Alley Apt. 688,Rodriguezfurt,AK,05835,99766 Jason Valley,Jeffreyburgh,WI,36621,Active,Boost;Other,Billing company,Jeffrey Miller,Clinicient,10,Client focused on improving billing efficiency and reducing denials.
Marquez Rehabilitation,(373) 359-4010,https://www.mcguirerehabcenter.com,841 Marvin Springs,New Michael,WA,39438,397 Krystal Valley,North John,AL,67276,Active,Other;Boost,in-house billing,Paul Wallace,Other,39,Client focused on improving billing efficiency and reducing denials.
Farrell Rehab Services,(440) 715-2923,https://www.blackwellptclinic.com,99226 Denise Trail Suite 953,Wardfort,VT,68690,696 Angelica Curve,Wagnershire,AZ,44259,Active,Boost,Billing company,Rebecca Butler,Clinicient,34,Client focused on improving billing efficiency and reducing denials.
Phillips Rehabilitation,(614) 664-3046,https://www.morenophysicaltherapy.com,53022 Taylor Coves Apt. 938,Walkerberg,NE,70996,53022 Taylor Coves Apt. 938,Walkerberg,NE,70996,Active,Consulting,in-house billing,Edward Cunningham,Epic,37,High volume clinic with steady monthly billing.
Contreras PT Clinic,(419) 397-4930,https://www.greenrehabservices.com,089 Bell Knoll,North Marthaside,OK,35382,615 Stacey Branch Apt. 284,West Catherine,MN,61174,Active,ARN Member,Billing company,Rebecca Peterson,Prompt EMR,38,Client focused on improving billing efficiency and reducing denials.
Phelps Rehab Center,(987) 492-3114,https://www.hoganrehabservices.com,904 Rowe Loop,Anthonyview,CA,00714,904 Rowe Loop,Anthonyview,CA,00714,Active,Billing,in-house billing,Daniel Johnson,Raintree,3,High volume clinic with steady monthly billing.
Moreno PT Clinic,(658) 239-3565,https://www.cooktherapygroup.com,678 Xavier Mount,Port Bradley,AS,14722,63705 Stokes Orchard Suite 024,North Nicolefurt,UT,11722,Active,Consulting,in-house billing,Lindsay Potts,Prompt EMR,11,High volume clinic with steady monthly billing.
